9.631835036246981215e-05,nan,7.250497854155583185e-05,nan,nan
8.603901342204217173e-05,nan,6.418872323490164397e-05,nan,nan
1.495640713444646851e-04,nan,1.099856989238628480e-04,nan,nan
2.511262743500404689e-04,nan,1.827271734929455558e-04,nan,nan
4.102272492557018950e-04,nan,2.988290195443263570e-04,nan,nan
6.519897527431258149e-04,nan,4.811757774592724437e-04,nan,nan
1.006332095039693536e-03,nan,7.573756815259478914e-04,nan,nan
1.507071261816689224e-03,nan,1.158470453863280928e-03,nan,nan
2.185601484696488798e-03,nan,1.715909583705654828e-03,nan,nan
3.063288483547181845e-03,nan,2.456809289069971421e-03,nan,nan
4.143379332869529669e-03,nan,3.394890606629797410e-03,nan,nan
5.397891566619308912e-03,nan,4.518530490577550573e-03,nan,nan
6.757522051784841353e-03,nan,5.782649440926343996e-03,nan,nan
8.122940206438234931e-03,nan,7.109936922926294277e-03,nan,nan
9.385290863818243623e-03,nan,8.401352512663582545e-03,nan,nan
1.044595573174242342e-02,nan,9.558734244090096380e-03,nan,nan
1.126208825003682454e-02,nan,1.053016809129879786e-02,nan,nan
1.191849562772391916e-02,nan,1.137674762182706509e-02,nan,nan
1.271057364387758078e-02,nan,1.235946957624897528e-02,nan,nan
1.419282940789815331e-02,nan,1.401984420511398315e-02,nan,nan
1.712409095996141745e-02,nan,1.716958178634294188e-02,nan,nan
2.220346609124333390e-02,nan,2.268203867204009530e-02,nan,nan
2.958003290231248084e-02,nan,3.102551794936140792e-02,nan,nan
3.840138426675761968e-02,nan,4.165955575132006955e-02,nan,nan
4.692947269298907570e-02,nan,5.281497140215231367e-02,nan,nan
5.415377981721505168e-02,nan,6.272224066782748630e-02,nan,nan
6.343134232957338414e-02,nan,7.303689139557797971e-02,nan,nan
8.436552278481446177e-02,nan,9.110895547938117900e-02,nan,nan
1.211106798966493509e-01,nan,1.203017568971395668e-01,nan,nan
1.500528452702583893e-01,nan,1.412261018832290382e-01,nan,nan
2.689028582688368085e-01,nan,2.519020880239628557e-01,nan,nan
